Product Name,Price,Seller,Shipping,Rating
Shop on eBay,$20.00,Not Available,Not Available,Not Available
Shop on eBay,$20.00,Not Available,Not Available,Not Available
"Chinese Latiao Snack Spicy Stripes, Spicy Large Gluten Snacks 360g",$19.02 to $55.37,b2c.cn,Free International Shipping,96.4% positive (276)
NEW! Japanese candy chocolate and snacks 1Kg box / Direct shipping from Japan!,$68.44,byebyegaijin,Free International Shipping,100% positive (1.8K)
JOYTOSS One Pcs Chips Challenge NEW (1 Pack),$11.07,indian-beautifulart,Free International Shipping,95.7% positive (106)
Japanese popular snack UMAIBO 14 all different flavors.and Takoyaki snack,$10.80,maymin.japan.kyoto,+$3.50 shipping,99.7% positive (2.9K)
Chinese La Tiao Snack A Variety of Spicy Strips Spicy Big Latiao Snacks 218g,$12.99,toplongtea,+$4.99 shipping,96.6% positive (285)
Spicy Baby Crab Seafood Snacks Instant Sweet & Spicy Crispy Dried Baby Crab,$15.05 to $43.75,b2c.cn,Free International Shipping,96.4% positive (276)
Spicy Sea Crab Small Crab Snacks Crispy Crab Can 250g,$14.89,b2c.cn,Free International Shipping,96.4% positive (276)
Mixed Dried Fruit and Vegetable Crispy Fruit Vegetable Healthy Vegetarian Snacks,$14.59,ph.factoryshop,+$2.50 shipping,96.3% positive (212)
"NEW Gushers Wednesday TV Fruit Flavored Snacks, 20 Pouches, 16 Oz, LIMITED TIME",$14.99,newcentral,+$209.74 shipping,0% positive (0)
Asian Snack Box | 50 pcs | Best of Japanese Korean ASIAN Snacks | SNACK SAMPLERS,$9.99 to $61.99,higardenia,+$26.87 shipping,100% positive (309)
CRATZ  Pepper Bacon taste 42g Japanese Salty Snack from Japan Glico,$3.00,danke2233,+$5.00 shipping,100% positive (2.2K)
Small Crab Snacks Ready-to-eat Crispy Sweet and Spicy Sea Crabs 55g*2PCS,$12.65,chendaq47,Free International Shipping & returns,97.5% positive (649)
Japanese DAGASHI UMAI-BO 40 pcs Snacks UMAIBO MENTAIKO TAKOYAKI from Japan!!!,$19.08,sachie2018,+$10.98 shipping,100% positive (38)
Cookies Chips Candy Snacks SALE Care Package Variety Pack 20 Count  Sampler Box,$29.99,knightny,+$50.60 shipping,100% positive (56)
500g / 1KG / 5KG Big Bag Traditional Pork Scratchings In 15 Flavours,$15.72 to $87.20,theposhpiguk,+$60.14 shipping estimate,99.4% positive (2.3K)
Slim Jim Snack Jerky Meat Snacks Travel Snack Smocked Snack 14ct,$18.35,jzzukltd,+$57.76 shipping estimate,99.3% positive (246.5K)
American Snacks - Takis Rare Flavour Variety - A Feast for the Brave!  US Import,$13.10 to $26.21,groceriesrus,+$48.30 shipping estimate,99.6% positive (30.9K)
"50 Exotic Japanese Korean Asian Snack Box With Ramen & Drinks, Snack Sampler Box",$11.99 to $38.99,premierproductsworld,+$27.24 shipping,99.4% positive (1.5K)
"Crispy fried chicken skin snack , Korean Style Sauce flavor, 30 grams",$14.00 to $65.00,genuine-asian-item-shop,Free International Shipping,100% positive (911)
Potato Chips Lays (Various Flavors)  -  120g (4.23 oz),$15.00,sm_art_glass,Free International Shipping,95.1% positive (1.3K)
Crispy Chilli Sesame Fried Thai Snacks Flavor Savory Spice Herb Food Asian Pack,$11.74,thaismai1960,Free International Shipping,100% positive (216)
Excellent Karinto fried dough cookies 130g Yamawaki from Japan,$7.00,danke2233,+$5.00 shipping,100% positive (2.2K)
Glico Pretz Tomato flavor stick japanese snack pocky from Japan,$3.00,danke2233,+$5.00 shipping,100% positive (2.2K)
Caramel Corn snack 75g Tohato Japan,$5.50,danke2233,+$5.00 shipping,100% positive (2.2K)
83 Bars Nature’s Bakery Emmy’s Organic Cookies Junkless Bobo’s Cascadian Farms,$18.50,vinnie1218,+$99.77 shipping,100% positive (2.1K)
"Crispy fried chicken skin snack , original flavor, 30 grams",$14.00 to $65.00,genuine-asian-item-shop,Free International Shipping,100% positive (911)
60 Pieces With Drink & Ramen Mix Variety Asian Snack Box Japanese Korean Taiwan,$9.99 to $44.99,premierproductsworld,+$65.71 shipping,99.4% positive (1.5K)
Soy sauce Rice cracker Senbei 120g Kameda japanese snack from Japan,$6.50,danke2233,+$5.00 shipping,100% positive (2.2K)
Ukrainian Potato Chips Lux 133g (Various Flavors),$15.00,sm_art_glass,Free International Shipping,95.1% positive (1.3K)
Scooby Fruit Snack Value Pack | .9 Ounce | Pack of 24,$27.62,whypaymore,+$27.39 shipping,98.9% positive (156.2K)
Oman Chips Chilli Flavor  Pack of 20 x 22g,$10.27,bh-aghaf,+$16.65 shipping,89.5% positive (40)
Jumbo Peanuts Salted Peanut Fried and JUMBO Spicy Hot Snack,$8.97,mohars298,Free International Shipping,0% positive (-1)
Weilong Hotstrips Latiao 2 Bags Chinese Snack Spicy Foods,$8.87,fr.shoppingmall,Free International Shipping,97.2% positive (1.9K)
Umaibo 10Flavor Assort 30Sticks Set Corn Puff Snack Dagashi Made in Japan,$21.95,hackintokyo,+$9.00 shipping,100% positive (261)
Chinese Latiao Snack A Variety of Spicy Strips Spicy Big Gluten Snacks 218g,$14.98,crownwelltea,+$4.99 shipping,97.9% positive (316)
40 Pieces Asian Snack With Drink & Ramen Mix Variety Box Japanese Korean Taiwan,$9.99 to $29.99,premierproductsworld,+$26.87 shipping,99.4% positive (1.5K)
Cheetos American Snacks - Various Flavours & Sizes,$6.54 to $8.51,groceriesrus,+$48.14 shipping estimate,99.6% positive (30.9K)
"Crispy fried chicken skin snack , Salted egg flavor, 30 grams K",$11.80 to $65.57,mooninja555,+$3.93 shipping,98.3% positive (260)
Smith's Savoury Selection Bacon Fries 24g (Case of 24),$18.69,golden_fashion_1,+$57.78 shipping estimate,99.3% positive (616)
30 Piece Asian Snack Ramen and Drinks Snack Box Japanese Korean Thailand Taiwan,$9.99 to $25.20,premierproductsworld,+$27.14 shipping,99.4% positive (1.5K)
American Snacks - Ruffles Potato Chips - Various Flavours 6.5oz (184.2g),$9.17 to $32.77,groceriesrus,+$48.17 shipping estimate,99.6% positive (30.9K)
Instant Spicy Scallops with Garlic and Seafood - Vacuum -,$6.86 to $24.03,de.factoryshop,Free International Shipping,95.1% positive (722)
CJ BIBIGO Roasted Korean Seasoned Seaweed Savoury Laver Nori Snacks (10 Pcs) 40g,$13.05,starrymartuk,+$57.58 shipping estimate,99.8% positive (9.8K)
Sesame Snaps Coconut 30g - Pack of 24,$15.07,healthplusliving,+$45.90 shipping,99.6% positive (154.4K)
Whole Greek Certified Organic Carob Pods 85g - 1.95Kg Ceratonia Siliqua,$10.88 to $68.85,agora_greek_deli,+$9.18 shipping,99.3% positive (7K)
