Product Name,Price,Miles,Dealername,Rating,Location,Reviews
2025 Chevrolet Silverado 3500 WT,49395,0,The Chevrolet Exchange,4.9,"Lake Bluff, IL",992
2019 Lexus LX 570 Base,58995,52700,Baha Auto Sales,0.0,"Chicago, IL (6 mi.)",47
2019 Cadillac CT6 Sport,33437,43413,Berman Nissan of Chicago,4.7,"Chicago, IL (6 mi.)",1283
2011 BMW 128 2dr Conv 128i,14995,47925,TAB Auto Brokers,5.0,"Chicago, IL (9 mi.)",25
2023 Chevrolet Silverado 3500 LTZ,61998,8694,CarMax Wilmington,0.0,Location not found,1
2003 Oldsmobile Silhouette GL,6495,71725,Car's Unlimited,0.0,"Skokie, IL (11 mi.)",0
2023 Audi e-tron Premium quattro,39372,6429,Old Orchard Nissan,4.6,"Skokie, IL (14 mi.)",3581
2020 Jeep Compass Sport,18998,46254,CarMax Warner Robins,0.0,Location not found,4
2012 Cadillac CTS-V Base,37800,115181,CHICAGO AUTO SPORTS,4.2,"Bensenville, IL (16 mi.)",5
2016 Subaru Crosstrek Hybrid Touring,14930,93823,Grand Subaru,4.9,"Bensenville, IL (17 mi.)",3896
2020 RAM 3500 Tradesman Crew Cab 4x4 8' Box,46994,72214,Castle Chevrolet of Villa Park,4.2,"Villa Park, IL (17 mi.)",1163
2016 Audi RS 7 4.0T Prestige,51888,59888,Chicago Auto Place,4.4,"Downers Grove, IL (18 mi.)",420
2015 Porsche Cayman S,55995,17784,carneed,4.3,"Northbrook, IL (18 mi.)",10
2011 BMW 335 xDrive,8995,116913,Burr Ridge Motor Sales,0.0,"Burr Ridge, IL (18 mi.)",4
2009 Acura TSX Technology,7499,169021,Your Choice Auto Sales of Posen,4.3,"Posen, IL (18 mi.)",113
2023 Audi RS 7 4.0T,115800,10700,Ultimo Motors North Shore,3.2,"Northbrook, IL (19 mi.)",88
2015 Honda Civic Hybrid Base,10999,101324,Chicago Carmaster,0.0,"Wood Dale, IL (19 mi.)",17
2018 Aston Martin DB11 V12,119800,13051,Napleton Aston Martin Maserati,4.8,"Downers Grove, IL (19 mi.)",1023
2002 Lexus SC 430 Base,17950,46285,Chicago Motor Credit,4.9,"South Holland, IL (20 mi.)",116
2016 Mercedes-Benz GLE-Class 4MATIC,41000,11001,Packey Webb Ford,4.4,"Downers Grove, IL (21 mi.)",652
2021 Audi RS 7 4.0T,78995,31481,Auto's of Chicago,4.0,"Arlington Heights, IL (23 mi.)",83
2017 Mercedes-Benz GLS 550 Base 4MATIC,23990,118708,Luxury Automax,4.6,"Tinley Park, IL (23 mi.)",318
2021 Audi RS 7 4.0T,82587,25557,The Audi Exchange,4.5,"Highland Park, IL (24 mi.)",993
2019 Cadillac CT6 Sport,33437,43413,Berman Nissan of Chicago,4.7,"Chicago, IL",1283
2021 GMC Canyon Base,34899,29420,Currie Motors Chevrolet,4.6,"Forest Park, IL (10 mi.)",1563
2003 Dodge Caravan SE 4dr Mini Van,7995,60872,Moto Zone Inc.,3.7,"Melrose Park, IL (12 mi.)",44
2017 Subaru BRZ Series. Yellow,19947,73015,Grand Subaru,4.9,"Bensenville, IL (17 mi.)",3896
2017 Lexus NX 200t,22998,64540,CarMax Pharr,0.0,Location not found,2
2018 Lexus NX 300,25998,19288,CarMax Gainesville,0.0,Location not found,4
2016 Lexus CT 200h Base,18995,53249,MINI of Glencoe North Shore,4.2,"Glenco, IL (18 mi.)",273
2016 Mercedes-Benz AMG GLE AMG GLE 63 S-Model 4MATIC,44800,68212,Ultimo Motors North Shore,3.2,"Northbrook, IL (19 mi.)",88
2018 Cadillac CT6 2.0L Turbo Base,24450,52611,Heritage Cadillac,4.6,"Lombard, IL (20 mi.)",1190
2016 Mercedes-Benz AMG GLE AMG GLE 63 4MATIC,34800,68294,Star Auto Works,4.8,"Downers Grove, IL (21 mi.)",15
