Product Name,Price,Seller,Shipping,Rating
Shop on eBay,$20.00,Not Available,Not Available,Not Available
Shop on eBay,$20.00,Not Available,Not Available,Not Available
"Chinese Latiao Snack Spicy Stripes, Spicy Large Gluten Snacks 360g",$19.02 to $55.37,b2c.cn,Free International Shipping,96.4% (276)
NEW! Japanese candy chocolate and snacks 1Kg box / Direct shipping from Japan!,$68.44,byebyegaijin,Free International Shipping,100% (1.8K)
Japanese popular snack UMAIBO 14 all different flavors.and Takoyaki snack,$10.80,maymin.japan.kyoto,+$3.50 shipping,99.7% (2.9K)
JOYTOSS One Pcs Chips Challenge NEW (1 Pack),$11.07,indian-beautifulart,Free International Shipping,94.9% (105)
Asian Snack Box | 50 pcs | Best of Japanese Korean ASIAN Snacks | SNACK SAMPLERS,$9.99 to $61.99,higardenia,+$28.29 shipping,100% (309)
Chinese La Tiao Snack A Variety of Spicy Strips Spicy Big Latiao Snacks 218g,$12.99,toplongtea,+$4.99 shipping,96.6% (285)
500g / 1KG / 5KG Big Bag Traditional Pork Scratchings In 15 Flavours,$15.72 to $87.20,theposhpiguk,+$60.14 shipping estimate,99.4% (2.3K)
"Takis Fuego, Blue Heat & Intense Nacho Hero Pack | 10, 20, 30, 46 Bags | 28.4g",$23.59 to $60.31,5starltd,+$49.94 shipping estimate,99.5% (65.4K)
CRATZ  Pepper Bacon taste 42g Japanese Salty Snack from Japan Glico,$3.00,danke2233,+$5.00 shipping,100% (2.2K)
500g / 1KG / 5KG Big Bag Traditional Pork CRACKLING In 15 Flavours,$15.72 to $85.89,theposhpiguk,+$60.10 shipping estimate,99.4% (2.3K)
Spicy Sea Crab Small Crab Snacks Crispy Crab Can 250g,$14.89,b2c.cn,Free International Shipping,96.4% (276)
Spicy Baby Crab Seafood Snacks Instant Sweet & Spicy Crispy Dried Baby Crab,$15.05 to $43.75,b2c.cn,Free International Shipping,96.4% (276)
Japanese DAGASHI UMAI-BO 40 pcs Snacks UMAIBO MENTAIKO TAKOYAKI from Japan!!!,$19.08,sachie2018,+$10.98 shipping,100% (38)
Mixed Dried Fruit and Vegetable Crispy Fruit Vegetable Healthy Vegetarian Snacks,$14.59,ph.factoryshop,+$2.50 shipping,96.3% (212)
Cookies Chips Candy Snacks SALE Care Package Variety Pack 20 Count  Sampler Box,$29.99,knightny,+$50.60 shipping,100% (56)
Ukrainian Potato Chips Lux 133g (Various Flavors),$15.00,sm_art_glass,Free International Shipping,95% (1.3K)
Potato Chips Lays (Various Flavors)  -  120g (4.23 oz),$15.00,sm_art_glass,Free International Shipping,95% (1.3K)
Small Crab Snacks Ready-to-eat Crispy Sweet and Spicy Sea Crabs 55g*2PCS,$12.65,chendaq47,Free International Shipping & returns,97.5% (649)
"50 Exotic Japanese Korean Asian Snack Box With Ramen & Drinks, Snack Sampler Box",$11.99 to $38.99,premierproductsworld,+$27.67 shipping,99.4% (1.5K)
Slim Jim Snack Jerky Meat Snacks Travel Snack Smocked Snack 14ct,$18.35,jzzukltd,+$57.76 shipping estimate,99.3% (246.5K)
Crispy Chilli Sesame Fried Thai Snacks Flavor Savory Spice Herb Food Asian Pack,$11.74,thaismai1960,Free International Shipping,100% (216)
Glico Pretz Tomato flavor stick japanese snack pocky from Japan,$3.00,danke2233,+$5.00 shipping,100% (2.2K)
Healthy Nut Free Snacks Chips Candy 45 Count Variety Sampler Snack Care Package,$44.99,chatteringparrots,+$51.05 shipping,98.5% (10.4K)
60 Pieces With Drink & Ramen Mix Variety Asian Snack Box Japanese Korean Taiwan,$9.99 to $44.99,premierproductsworld,+$65.66 shipping,99.4% (1.5K)
1Kg Uncle Albert's Traditional Pork Scratchings  Seasoned- £16.45 inc P & P,$21.57,brmorr-1151,+$62.58 shipping estimate,99.2% (1.4K)
Weilong Hotstrips Latiao 2 Bags Chinese Snack Spicy Foods,$8.87,fr.shoppingmall,Free International Shipping,97.2% (1.9K)
Excellent Karinto fried dough cookies 130g Yamawaki from Japan,$7.00,danke2233,+$5.00 shipping,100% (2.2K)
Caramel Corn snack 75g Tohato Japan,$5.50,danke2233,+$5.00 shipping,100% (2.2K)
Scooby Fruit Snack Value Pack | .9 Ounce | Pack of 24,$27.62,whypaymore,+$27.39 shipping,98.9% (156.2K)
"Chinese Latiao Snack Gift A Variety of Spicy Strips,spicy Big Gluten Snacks 360g",$22.99,chendaq47,Free International Shipping & returns,97.5% (649)
40 Pieces Asian Snack With Drink & Ramen Mix Variety Box Japanese Korean Taiwan,$9.99 to $29.99,premierproductsworld,+$26.87 shipping,99.4% (1.5K)
"NEW Gushers Wednesday TV Fruit Flavored Snacks, 20 Pouches, 16 Oz, LIMITED TIME",$14.99,newcentral,+$209.74 shipping,0% (0)
Takis Fuego 3.25oz (92.3g) case of 20,$26.21,groceriesrus,+$48.76 shipping estimate,99.6% (30.9K)
RANDOM Munchies Boxxx 65+ct tasty Snacks Care Package/Snack box,$35.99,clcgc19,+$72.93 shipping,94.7% (118)
"Crispy fried chicken skin snack , Salted egg flavor, 30 grams K",$11.80 to $65.57,mooninja555,+$3.93 shipping,98.3% (260)
Fun Size Assorted Chocolate Bulk Mix Variety Pack - 2 Lb /3 Lb /4 Lb /5 Lb /6 Lb,$20.99 to $49.99,ibexpc,+$69.96 shipping,99.1% (2K)
American Snacks - Ruffles Potato Chips - Various Flavours 6.5oz (184.2g),$9.17 to $32.77,groceriesrus,+$48.98 shipping estimate,99.6% (30.9K)
"Crispy fried chicken skin snack , Korean Style Sauce flavor, 30 grams",$14.00 to $65.00,genuine-asian-item-shop,Free International Shipping,100% (911)
"CHOI's 1(Daechun) Korean BBQ Seaweed Snacks - (36 Pack) - Keto, Gluten Free",$19.66,wanahong_oriental_store,+$57.82 shipping estimate,99.5% (25.9K)
30 Piece Asian Snack Ramen and Drinks Snack Box Japanese Korean Thailand Taiwan,$9.99 to $25.20,premierproductsworld,+$27.17 shipping,99.4% (1.5K)
Chex Mix Traditional Savory Snack Mix (42 pk.)   FREE SHIPPING,$13.56,icemansthunderllc,+$77.05 shipping,97.8% (223)
"Crispy fried chicken skin snack , original flavor, 30 grams",$14.00 to $65.00,genuine-asian-item-shop,Free International Shipping,100% (911)
Umaibo 10Flavor Assort 30Sticks Set Corn Puff Snack Dagashi Made in Japan,$21.95,hackintokyo,+$9.00 shipping,100% (261)
"Takis Fuego Hot Chill & Lime Crunchy American Crisp | 10, 20,30, 46 Bags | 28.4g",$23.59 to $60.31,5starltd,+$49.94 shipping estimate,99.5% (65.4K)
Potato Chips Lays (Various Flavors)  -  120g (4.23 oz),$13.00,sm_art_glass,Free International Shipping,95% (1.3K)
